去产能行业司机活跃在平台 滴滴成去产能转型就业缓冲样本,http://www.ce.cn/cysc/newmain/yc/jsxw/201612/26/t20161226_19135669.shtml,中国经济网,5小时前
评论:滴滴和凡客一样用钱砸出盛世平台 错在太快错在贪婪,http://finance.sina.com.cn/review/jcgc/2016-12-26/doc-ifxyxury8691268.shtml,新浪财经,14小时前
滴滴、美团等获58卓越雇主奖,http://news.163.com/16/1226/01/C963L2IK000187VI.html,网易新闻,21小时前
贵阳滴滴出租车入选“红马甲”优质服务车 大数据手段提升服务水平,http://www.donews.com/news/detail/4/2945221.html,DoNews,6小时前
"共享出行,共享安全 滴滴携手凡科打造安全梦工厂",http://news.163.com/16/1226/15/C97K0P65000187VF.html,网易新闻,7小时前
大连:这个滴滴司机胆真大 酒驾还拉客,http://liaoning.nen.com.cn/system/2016/12/26/019557332.shtml,东北新闻网,7小时前
238.4萬去產能行業司機活躍在平台 滴滴成去產能轉型就業緩沖樣本,http://it.people.com.cn/BIG5/n1/2016/1226/c1009-28977945.html,人民网,5小时前
唐嫣罗晋公开恋情滴滴蹭热点催婚双方,http://www.techweb.com.cn/irouter/2016-12-26/2461604.shtml,Techweb,10小时前
“变身”圣诞雪橇 南昌滴滴出租车福利来袭,http://nc.house.sina.com.cn/news/2016-12-26/12396219008450790489358.shtml?wt_source=newshp_news_06,新浪地产网,9小时前
南宁:滴滴打车出车祸 讨说法一拖再拖,http://www.gxnews.com.cn/staticpages/20161226/newgx58607bde-15815353.shtml?pcview=1,广西新闻网,12小时前
坐滴滴游芬兰 体验冰雪北欧之旅,http://news.cqnews.net/szb/2016-12/26/content_40035401.htm,华龙网,11小时前
滴滴总裁柳青入选“全球女性领袖榜”,http://www.wokeji.com/index/renwu/2016-12/26/content_495025.shtml,中国科技网,12小时前
滴滴与美团等入选2016年度卓越雇主百强榜单_南方快报_南方网,http://news.k618.cn/society/201612/t20161226_9866590.html,未来网,5小时前
滴滴与美团等入选2016年度卓越雇主百强榜单,http://kb.southcn.com/content/2016-12/26/content_162433426.htm,南方网,5小时前
滴滴理财:破解雾霾难题 绿色金融可助一臂之力,http://www.senn.com.cn/sx/2016/12/26/173666.html,南方企业新闻网,6小时前
外媒:中国网约车新规对滴滴的外地司机造成威胁,http://news.zol.com.cn/620/6209462.html?t=1482658536995,中关村在线,2016年12月24日,05:00
滴滴入股饿了么落实 汽车配送靠谱吗,http://www.vmeti.com/uncategorized/126327.html,微媒体,2016年12月25日,10:21
南宁:滴滴打车出车祸 讨说法一拖再拖,http://www.gxnews.com.cn/staticpages/20161225/newgx585f27b8-15812608.shtml?winzoom=1,广西新闻网,2016年12月25日,09:00
"滴滴再受“打击”,帝都网约车考试加入英语听力?",http://www.niuche.com/news/detail_498965.html,牛车网,2016年12月25日,15:00
滴滴柳青入选《财富》2016中国最具影响力的25位商界女性榜,http://news.zol.com.cn/620/6209376.html?tml=guess,中关村在线,2016年12月23日,18:00
京沪出台网约车新政 滴滴们和用户该如何面对,http://it.sohu.com/20161223/n476692016.shtml,搜狐科技,2016年12月23日,00:05
京沪发布网约车新政 滴滴易到受益 神州有点受伤,http://it.21cn.com/itnews/a/2016/1223/16/31809729.shtml?t=1482649311740,21CN,2016年12月23日,16:21
滴滴出行获评央广网2016年度最具影响力出行APP,http://www.cnr.cn/tech/techgd/20161222/t20161222_523379895.shtml,中国广播网,2016年12月22日,21:00
滴滴出行副总裁王欣:2017年将会是分享经济爆发之年,http://www.cnr.cn/tech/techgd/20161222/t20161222_523377030.shtml,中国广播网,2016年12月22日,11:00
滴滴推小巴业务 大数据运算成其新亮点,http://news.163.com/16/1222/16/C8TDIPTG00014JB5.html,网易新闻,2016年12月22日,16:47
"京沪网约车新规终出世,“滴滴们”未来走向何方",http://tech.ifeng.com/a/20161222/44519868_0.shtml,凤凰科技,2016年12月22日,06:00
滴滴小巴上线:无奈的妥协还是真救命稻草,http://it.sohu.com/20161222/n476683971.shtml,搜狐科技,2016年12月22日,21:53
滴滴推小巴业务 大数据运算成其新亮点,http://it.21cn.com/itroll/zhnb/2016/1222/18/31806261.shtml,21CN,2016年12月22日,18:00
滴滴:野蛮生长的背后,http://it.sohu.com/20161222/n476594914.shtml,搜狐科技,2016年12月22日,09:39
京人京车版网约车新政出炉 滴滴称将实现平稳过渡,http://www.cs.com.cn/xwzx/cj/201612/t20161222_5132434.html,中证网,2016年12月22日,15:00
又一只独角兽诞生了 货运界“滴滴”货车帮估值达10亿美元,http://money.163.com/16/1222/15/C8TAQ87Q002580S6.html,网易财经,2016年12月22日,15:27
"早教品牌如何选择,为您揭秘济南金宝贝的点点滴滴",http://news.163.com/16/1222/14/C8T942HO00014SEH.html,网易新闻,2016年12月22日,14:43
40岁以下商界精英 滴滴美团饿了么老板均在最小25岁,http://chenyongjun.baijia.baidu.com/article/732911,百度百家,2016年12月23日,08:00
踏入悠久的李子坝 探寻被你遗忘的点点滴滴,http://life.cqnews.net/html/2016-12/23/content_39989758.htm,华龙网,2016年12月23日,06:40
网约车新政重创滴滴 神州专车陆正耀心情最舒畅,http://www.cnii.com.cn/mobileinternet/2016-12/22/content_1806426.htm,中国信息产业网,2016年12月22日,08:51
"你可能坐不起滴滴豪车,但可以听听豪车司机们的故事",http://www.donews.com/article/detail/4089/9531.html,DoNews,2016年12月22日,08:56
"京沪网约车新政出台:滴滴意外反转,神州黄粱一梦",http://it.sohu.com/20161222/n476636468.shtml,搜狐科技,2016年12月22日,15:35
我省搭建物流版“滴滴”平台 - 泉州晚报数字报·泉州网,http://szb.qzwb.com/qzwb/html/2016-12/22/content_295461.htm,泉州网,2016年12月22日,10:19
"实施细则尘埃落定,喜不上眉梢,愁不过滴滴!",http://www.itbear.com.cn/html/2016-12/195551.html,ITBear科技资讯,2016年12月22日,16:37
马大哈失主丢钱包滴滴师傅帮送回,http://www.tlnews.com.cn/xwpd/msmq/content/2016-12/22/content_6102066.htm,桐庐新闻网,2016年12月22日,08:34
"天啦噜!女大学生因给“滴滴”司机差评,竟被司机……",http://news.dahe.cn/2016/12-23/108004433.html,大河网,2016年12月23日,12:00
滴滴出行敢扶公益蓉城车队正式成立,http://news.k618.cn/society/201612/t20161223_9834125.html,未来网,2016年12月23日,11:03
唐嫣罗晋公开恋情引关注 滴滴vivo变身段子手!,http://www.techweb.com.cn/irouter/2016-12-23/2461043.shtml,Techweb,2016年12月23日,20:19
"京沪网约车新规终出世,“滴滴们”未来走向何方",http://tech.ifeng.com/a/20161222/44519868_0.shtml,凤凰科技,2016年12月22日,06:00
踏入悠久的李子坝 探寻被你遗忘的点点滴滴,http://www.cq.xinhuanet.com/2016-12/23/c_1120172177.htm,新华网重庆站,2016年12月23日,08:55
商务部回应滴滴优步中国合并:依法进行调查,http://news.dahe.cn/2016/12-23/108011232.html,大河网,2016年12月23日,18:00
A级车基本不能开网约车 超9成滴滴司机将流失,http://news.xyw.gov.cn/qiche/2016-12-23/1800812.html,信阳网,2016年12月23日,15:22
滴滴理财:互金行业年度蓝皮书发布 后监督时代令人期待,http://www.cinic.org.cn/site951/zhpd/2016-12-23/846246.shtml,中国产业经济信息网,2016年12月23日,14:23
"预约“滴滴”“优步”之前,这几个法律问题一定要知道!",http://news.dahe.cn/2016/12-23/108005230.html,大河网,2016年12月23日,12:00
滴滴推小巴业务 大数据运算成其新亮点,http://it.21cn.com/itroll/zhnb/2016/1222/18/31806261.shtml,21CN,2016年12月22日,18:00
京人京车版网约车新政出炉 滴滴称将实现平稳过渡,http://www.cs.com.cn/xwzx/cj/201612/t20161222_5132434.html,中证网,2016年12月22日,15:00
又一只独角兽诞生了 货运界“滴滴”货车帮估值达10亿美元,http://money.163.com/16/1222/15/C8TAQ87Q002580S6.html#from=keyscan,网易财经,2016年12月22日,15:27
"早教品牌如何选择,为您揭秘济南金宝贝的点点滴滴",http://news.163.com/16/1222/14/C8T942HO00014SEH.html,网易新闻,2016年12月22日,14:43
携手滴滴途牛—安徽老庙黄金荣获金麦奖品牌大奖,http://www.ah.chinanews.com/news/2016/1223/42783.shtml,中国新闻网安徽站,2016年12月23日,18:00
